name,title,sex,Date of Birth,Staff No,Qualification With Date (Indicate Discipline),Designation,GL,Date of 1st Appt.,Date of Conf.,Date of Last Promotion,LGA,State of Origin
Demetria Belhomme,Mrs,Female,13/02/1974,59-0287896,Université des Sciences Sociales (Toulouse I),8,16,30/12/2010,20/08/2011,14/10/2015,Salt Lake City,Utah
Norbert Bareham,Dr,Male,04/02/1984,83-8363886,Universidad César Vallejo,7,4,28/10/2011,28/12/2008,11/03/2002,Orange,California
Arv Penvarden,Ms,Male,12/09/2009,11-4346962,Shanghai Lida Polytechnic Institute,10,9,24/02/2005,05/04/2004,06/02/2015,Morgantown,West Virginia
Felic Parkhouse,Mr,Male,18/02/1984,14-0512966,The CTL Eurocollege,13,13,09/10/2002,15/04/2013,22/12/2011,Atlanta,Georgia
Pat Tulley,Honorable,Female,23/08/1980,81-7079682,"International Banking Institute, St. Petersburg",12,4,10/12/2004,19/03/2009,06/11/2012,Saint Paul,Minnesota
Ricoriki Klasen,Mrs,Male,09/02/2010,14-1547069,University of Insubria,11,5,12/08/2009,24/11/2013,21/01/2017,Mobile,Alabama
Tyler Fareweather,Ms,Male,28/12/2013,68-6151197,Virtual University of Pakistan,15,10,04/02/2006,27/08/2011,08/05/2001,Fresno,California
Jory Mulbry,Mrs,Male,21/04/2013,00-4499194,Institut Supérieur d'Agriculture Rhone-Alpes,12,4,19/05/2016,07/10/2005,24/04/2005,Las Vegas,Nevada
Vale Moriarty,Mr,Female,12/02/2016,53-9101973,Universidad de Ciencias de la Informatica,4,17,25/07/2012,22/05/2007,15/02/2001,Dallas,Texas
Frank Kos,Dr,Male,11/04/2006,83-1604096,"University of Maine, Augusta",6,17,24/06/2015,05/10/2003,18/01/2016,Peoria,Illinois
Devonna Chessill,Mr,Female,28/08/2018,86-8287173,Toyohashi University of Technology,4,4,13/07/2018,11/03/2012,09/12/2017,Fort Wayne,Indiana
Nev Bragg,Honorable,Male,26/02/2001,09-9963959,Wesley College Mississippi,8,7,02/08/2005,24/03/2018,11/02/2014,Columbus,Ohio
Fifine Cicculini,Honorable,Female,13/03/1969,22-5453324,Universidad Fidélitas,3,11,22/06/2003,22/07/2013,14/08/2016,Madison,Wisconsin
Elmo Staining,Ms,Male,07/09/1980,91-9117713,Université d'Abobo-Adjamé,7,14,13/09/2014,16/08/2017,07/09/2011,Pittsburgh,Pennsylvania
Terrye O'Henecan,Mrs,Female,24/03/2011,84-1129553,American College of Greece,3,4,12/03/2017,11/11/2005,10/08/2010,Omaha,Nebraska
Scottie Casillis,Mrs,Male,20/03/1986,84-7983495,Sakushin Gakuin University,10,5,14/02/2017,15/06/2016,01/11/2015,Duluth,Georgia
Mercy Ludy,Mr,Female,29/04/1983,00-3231341,"National University of Ireland, Maynooth",6,9,20/04/2009,22/02/2007,23/07/2002,Cincinnati,Ohio
Darby Bromley,Honorable,Male,10/04/2011,68-3994552,Ecole Nationale Supérieure de l'Aéronautique et de l'Espace,11,9,08/09/2001,28/05/2007,31/12/2011,Albuquerque,New Mexico
Erica Petera,Ms,Female,09/03/2003,51-1892073,IASE (Institute of Advanced Studies) Deemed University,5,5,04/07/2012,13/06/2002,25/04/2002,Evansville,Indiana
Deva Kleinbaum,Mr,Female,01/06/1983,40-2271614,Thapar Institute of Engineering and Technology,10,9,17/09/2009,02/09/2007,23/11/2017,Van Nuys,California
Suzie McClymont,Mr,Female,23/12/2003,74-7283228,Technical University of Radom,9,11,21/12/2004,22/06/2004,30/01/2006,Springfield,Illinois
Dun Kolodziej,Rev,Male,08/06/2014,04-1170068,Ohtani Women's University,9,3,13/01/2012,16/10/2017,04/09/2001,High Point,North Carolina
Holden Usmar,Mr,Male,09/06/2007,22-1512704,Institut National Polytechnique de Toulouse,15,14,18/10/2017,29/08/2011,24/04/2012,Phoenix,Arizona
Emilio Bilsland,Rev,Male,20/01/1981,26-7240117,Technical University of Zielona Gora,10,5,05/04/2011,28/05/2018,03/08/2009,Phoenix,Arizona
Bryn Merwood,Mr,Female,17/07/2010,96-1724764,University of Hargeisa,9,6,14/11/2000,28/04/2013,24/04/2001,North Little Rock,Arkansas
Wilmar Van der Linde,Mr,Male,03/04/1965,14-7365344,Universidad de Hermosillo,13,17,07/11/2017,09/06/2015,06/03/2008,San Jose,California
Agna Freed,Mrs,Female,12/02/1992,01-0433223,Escuela de Ingeniería de Antioquia,7,16,26/07/2005,22/11/2001,03/05/2017,Albany,New York
Oralia Mays,Mr,Female,11/05/1990,11-4053476,Sullivan College,12,7,20/05/2013,23/12/2017,27/11/2015,Washington,District of Columbia
Northrop Coughlan,Mrs,Male,13/04/1990,18-6883280,Center for Humanistic Studies,11,15,25/04/2018,28/04/2011,07/05/2006,Washington,District of Columbia
Carree Jasik,Mrs,Female,14/04/1966,60-3365013,Marian College,3,13,12/04/2010,14/09/2014,27/11/2013,Muncie,Indiana
Hendrick Tomkin,Dr,Male,02/06/2011,80-9523542,Muhimbili University of Health and Allied Sciences (MUHAS),5,8,27/02/2007,25/06/2008,06/09/2017,Chicago,Illinois
Kerwin Flawith,Dr,Male,17/05/1964,23-3934054,Sagami Women's University,5,6,17/07/2005,07/11/2011,19/03/2011,Boise,Idaho
Frederic Dukesbury,Rev,Male,13/04/2018,61-3218024,Universidade de Passo Fundo,17,16,11/02/2014,07/06/2008,22/09/2012,San Diego,California
Patrick Backler,Honorable,Male,28/03/1998,76-4226743,University of Technology Phnom Penh,13,3,21/09/2004,16/07/2007,31/12/2006,Stamford,Connecticut
Maryjo McGinlay,Ms,Female,04/04/1970,29-0602137,Tiffin University,17,10,16/09/2006,25/09/2003,02/11/2003,Houston,Texas
Judah Timny,Dr,Male,22/04/2013,03-7531002,Akdeniz University,10,3,06/04/2014,06/04/2013,10/08/2017,Rochester,New York
Juli Dumbar,Mr,Female,15/03/2000,39-6375719,University of East Asia,11,3,19/09/2012,22/01/2010,19/02/2006,Houston,Texas
Olly Pirdy,Mr,Male,14/04/1992,26-5536700,Kaunas University of Technology,3,7,21/07/2005,20/09/2002,28/07/2007,Columbus,Ohio
Ysabel Bleue,Dr,Female,21/05/2012,83-3321581,Hebrew College,3,10,16/03/2003,22/07/2017,25/02/2005,Gainesville,Georgia
Terra Cockshoot,Mr,Female,16/04/1995,32-6305074,Uttarakhand Open University ,8,14,25/05/2003,06/06/2009,03/06/2006,Memphis,Tennessee
Seumas Philippou,Rev,Male,22/04/1987,12-7041310,Saxion Universities ,14,9,01/03/2017,27/07/2003,22/10/2008,Midland,Texas
Anthiathia Gianettini,Ms,Female,18/09/1977,07-9196544,Bethune-Cookman College,17,6,15/03/2018,10/02/2016,29/06/2001,Kansas City,Missouri
Tudor Cribbin,Ms,Male,27/09/1992,17-5128537,Universität des Saarlandes,16,4,28/01/2005,24/04/2002,22/07/2013,Atlanta,Georgia
Laurel Duesbury,Ms,Female,24/04/1975,02-9333204,Ghana Institute of Management and Public Administration (GIMPA),13,10,08/11/2003,11/01/2015,07/06/2013,Reno,Nevada
Mick Duckering,Mrs,Male,09/11/2016,82-0206258,Murray State University,16,9,29/01/2012,20/04/2004,04/04/2016,Miami,Florida
Maurita Simoni,Mrs,Female,18/11/1991,98-2530799,LungHwa University of Science and Technology,13,8,14/11/2006,30/09/2011,14/10/2008,Austin,Texas
Ariana Byles,Honorable,Female,04/07/1982,52-7901583,Ecole Polytechnique,9,9,22/12/2004,03/11/2005,25/03/2018,Lawrenceville,Georgia
Klarika Maryan,Honorable,Female,14/11/1971,18-6020111,University of Basel,5,14,01/02/2014,19/08/2013,13/06/2003,Dallas,Texas
Abbey Gawn,Ms,Female,07/06/1977,66-4718469,Tokyo University of Information Sciences,9,3,15/08/2006,02/12/2007,15/08/2011,Gainesville,Georgia
Deane Dallosso,Rev,Female,05/01/1985,58-8201589,University of Aizu,3,12,28/08/2014,24/06/2014,11/02/2006,Sioux Falls,South Dakota
Tedra Nettles,Mr,Female,11/11/1976,49-1736763,"University of Eastern Africa, Baraton",17,8,18/08/2016,12/07/2011,21/06/2004,Knoxville,Tennessee
Jan Redihough,Mrs,Female,10/07/1987,06-5218173,Universidade Eduardo Mondlane,11,14,22/07/2008,25/06/2015,30/08/2005,Honolulu,Hawaii
Carmel Faux,Mr,Female,19/05/1998,08-0372995,Ueno Gakuen College,3,10,08/11/2002,01/09/2010,24/02/2014,Sacramento,California
Archer Blaszczyk,Honorable,Male,14/11/1993,16-8186325,Pacific University,4,13,24/11/2016,11/06/2018,13/04/2010,Richmond,Virginia
Inessa Barby,Rev,Female,28/09/2007,06-8298209,Duksung Women's University,8,13,10/03/2013,27/01/2007,27/04/2008,Gainesville,Georgia
Duncan Storres,Mrs,Male,10/02/1990,40-9538266,Chengdu University,4,10,09/08/2015,09/11/2003,24/04/2012,Peoria,Illinois
Kerrill Everist,Dr,Female,15/08/1988,98-4653729,Universidade Catolica Portuguesa,17,10,04/10/2017,26/06/2016,15/03/2011,Marietta,Georgia
Gun Daice,Ms,Male,09/04/1964,18-9822348,Oman College Of Management & Technology,8,11,19/07/2017,12/02/2018,31/05/2014,Salt Lake City,Utah
Helena McGinnis,Dr,Female,15/07/2001,28-4382071,Fachhochschule Bielefeld,15,10,15/06/2003,16/08/2016,16/03/2003,Palo Alto,California
Dill Rider,Mr,Male,22/09/1966,49-7381337,Universidad Nacional del Comahue,3,7,06/01/2012,22/04/2013,24/08/2015,Charleston,West Virginia
Courtnay Kupis,Dr,Male,08/07/1997,19-6117636,Universidad del Tepeyac,14,3,25/02/2017,29/07/2001,06/05/2001,Tacoma,Washington
Ewen Woolstenholmes,Rev,Male,19/02/1995,53-0438971,"Davenport College of Business, Kalamazoo",12,12,17/03/2008,02/08/2018,28/09/2003,Anaheim,California
Kayla Perot,Ms,Female,20/07/2016,90-0491944,Istanbul University,12,9,12/08/2016,15/02/2015,01/09/2016,Charleston,West Virginia
Melita Pidgeon,Mrs,Female,31/12/1971,14-0919756,Liverpool John Moores University,16,11,27/01/2002,08/05/2011,08/11/2016,San Diego,California
Hersch Deakins,Honorable,Male,07/10/1965,72-7603913,"University of Gjirokstra ""Eqerem Cabej""",13,5,24/08/2018,24/04/2015,21/03/2015,Bronx,New York
Garrek Giraths,Honorable,Male,24/12/2007,54-0918516,The Kingdom University,6,11,03/10/2010,09/07/2004,04/01/2015,El Paso,Texas
